,id,type
0,ElbFlex,UNI
1,FrontSupPro,UNI
2,FrontWrstExt,UNI
3,FrontWrstFlex,UNI
4,PickCup,UNI
5,Scaption90,UNI
6,ShAbd90,UNI
7,ShExt,UNI
8,ShFlex90,UNI
9,ShHorAdd,UNI
10,ShRot,UNI
11,SupPro,UNI
12,WrstExt,UNI
13,WrstFlex,UNI
